"","lyrics","track_name_join"
"82","","midnight marauders album artwork"
"83","hello, this is your midnight marauder program i am on the front of your cover i will be enhancing your cassettes and c ds with certain facts that you may find beneficial the average bounce meter for your midnight marauder program will be in the area of b p m we hope that you will find our presentation precise, bass heavy, and just right thanks","midnight marauders tour guide"
"84","[ verse : q- tip] your new lesson is to realize the mission when you hear it emceein, see i got this in my spirit i got verses like mahalia singin church hymns so strap up because you skatin on ice that's wild thin a weak foundation doesn't make a good home that's why mine is built on chrome microphones we bout to do it theoretically, insteadibly, to the medley come on it's the complete kamaal, unique, fareed, breed that'll keep you broke down like a ross speed so move buddy, a yo we got to get this money in this land of dead and crummy, ain't a damn thing funny a yo, shout out to mobb deep, the extra p busta rhymes, de la, the j beez, and don't sleep we got reality for the cabbage staying sincere to this, so i know we gonna manage give me, liberty in mass amounts and swiss bank accounts with the sustainer, it'll be real so me and my brothas, we can sit down and build like rampage with that last boy scout appeal we got that silk, satin, manhattan intelligence feel that keeps everything on even keels so all you slow brothas talkin yang, ya poo tang now, we gonna show you how the real crew bang [ verse : consequence] a yo, i bring it to you live kid, queens niggas love static your rap's had it, braggin more numbers than mathematics i get brains on craftmatics and leave your wet dreams shattered that's the same guy be skeetin' in your mugshot i stays hot like summertime on l b q and boo boos the love shack is --, my joint's smooth to watch y'all niggas fall like lin que i keeps it brand new like school shoppin', it's on and poppin' the club peeps this nigga's steez like radars you get laid off while i'll be gaming ghetto girl like - off the verdict's in, i be the luke of linden give up your goods cuz it's the start of your endin' [ hook: q- tip] ( where ya at?) we seein life for what it is ( where ya at?) we get this money for these kids ( where ya at?) we bout to build the foundation ( where ya at?) [ verse : phife dawg] now, all that glock totin' trash you talk will not prevail it's stale, you'll either be dead or in jail i keeps it realer than the logo on milk denouncing tough guy wannabes that look smoother than silk that's the sound of the man getting yanked off the stage trying to front like he mad paid sucking so bad, we threw his mama off the train (insane) m cs are just givin it all away ( o k) who said him know about the quest-like sound? mess around and get your ass knocked down (clown) i dedicate this to the posers that play hard you wanna hear some rhymes, well then bring your bodyguard so he can peep the worldwide willie that we display leaving all m cs in complete disarray i beez a veteran m c, crushing crews for years you frontin' hard, when you softer than the berenstain bears yeah, chumps be like "" phife, that ain't fair"" ' fuck outta here, do i look like i care? come off my stage before i grab ya neck and handle ya wet ya like punani, then dry you like canada shaheed muhammad's on the gemini mixer peace to derrick coleman, mad max and the sixers i'm cappin hard cuz i got this rap shit sold from linden boulevard down to cascade road you know my steez, i treat hip hop like a sport holdin down fort up on martinique court like... [ outro: q- tip] ( where ya at?) we seein life for what it is ( where ya at?) we get this money for these kids ( where ya at?) we bout to build the foundation ( where ya at?) we gonna start the zulu nation ( where ya at?) come on, come on ( where ya at?) we gonna put it all together ( where ya at?) no matter what the hell the weather ( where ya at?) uh, uh, mind power ( x) uh, uh, kickin willie is good, all throughout your whole hood but we gotta start with the spirit first y'all mind power","mind power"
"85","[ verse : consequence] i break bread, ribs, hundred dollar bills dream about bugattis and other four-wheels they say illuminati and other ordeals is how my lawyer got me to avoid a raw deal and now it's more real than it is for any other star and that's enough to have you tearing up the mini-bar i should probably get awards where the emmys are for how i deal with the path like remy ma i get in the car like a sniper's on the roof now but don't confuse how you see me have to move now i got bars like the cypher's in the booth now ooh, child, things are gonna get easier long as they get my page right on wikipedia long as they say my name right in the media if you don't, that's a sin like cincinnati ' cause ever since i had the polo suit at the grammys i been spittin' at the camera like trick daddy so swaggy, he could've broke up with i g i ain't surprised that they broke up on i g i got the game on i v, might as well have a live feed keep a fresh cut from i b so i always match the picture in my i d they packin' dub c had ran with mack i was still a baby similac then and what the crack era did to black men it had to be an error if you had a cadillac then [ verse : busta rhymes] how i rock mine, i throw it up makin' sure that you niggas all are on the same page powerful force, you better look both ways fuck that, i'm chokin' niggas, it's goin' down i'm from a different cloth, we the oracles of the sounds skip town, hit 'em with impeccable pound lost, found, the way i flood it, niggas gon' drown rip shit—ayo, wait, wait, wait, wait— i gotta do it again, i gotta do it again you already know the script, roundhouse kick she lookin' at me, lickin' her lip put my arm around her like a bowl of chip with a dip with yo' bitch, what the fuck, niggas erupt i got the half moon clip, that's banana a good planner, a new anger like a larger bruce banner out the house, nigga, if you open your mouth man, nigga, if you open your mouth fuck the press, i'm leavin' every room in a mess like herds of bulls with they aprons on and bakin' soda keep it movin', keep the convo short and bring a case of henney house of pain, i control many house of lies, you niggas go run, hide peep the way this vibe conflict with they real lives ( nigga) fanatic shit, we go bizarre bad news for niggas as i go emphatical, radical national animal rulin' like a czar every time i black for the record, the shit splatter the whole batter, no bullshit, the boom bapper i pull the gat up, whip the shit, cook the batter when i pull up on niggas, even your momma gon' scatter barishkaaa","mobius"
"86","this is the lone ranger if you're one of the fortunate to purchase this a tribe called quest, the love movement album you are privileged to witness the first in a series of attempts to rectify music from its rectalness again, this is the lone ranger with his first installment money maker listen colder in the winter and hotter in the summer get on up get on up live your life right when you be corrupt volcano about to erupt get it up, get it up, get it up got the motivating joints that keep your ass jumping why when a nigga get on, you want something yo i got the poisonous traps for little rats that fiend in come the bedroom, dream kick it at a slow or at a quick tempo a ladies' disposition won't fuck with the mental i'm built for conflicts with chicks with issues i can lick the wounds, bring ease when misused bringin' all the pain and makin' things shiver the beat make you bite your nails and shit your liver and we gonna give a encore performance haters seem dormant while my presence is enormous tarnations, i went gold stressed out with faith but told cats to get a hold who is the nigga who's mic is stronger rock for an hour and he might rock longer kid you're perplexed, seems i better get to gongin' the clean up man, hang you up like awning don't step in the arena, that's a stern warning i'm the pops, i raise the sun like morning seems you're still sleeping, hey, stop the yawning open up the blinds and witness the dawning the new application and i'm the applier and i'm a set it off like fire yeah yeah, that's where it's at make it hot and phat and like puff ( i like that) now i got to urge you on to move ahead don't dread, 'cause i keep the stock in the shed and if you need a boost, then i got the jump because we prone to make the party go bump bump bump bump bump bump bump where you is if you the baby daddy then uplift the kids get back and plan, don't be on front flossin' incognito, you heard the name quite often you dressed in black and been issued a coffin i thrive on this plane, you off to the lost one like cayenne pepper, it gets hot, nothin' better from each little dash it get the whole smash it's tasty too, so satisfy your whole palate fake i d's are revoked and invalid infractin' bodies out on the dance floor is what i wanna see, not less but much more the lyrics just spewed, he got good reviews the kid made the news, how he left no clues on how he just murdalized the whole damn jam he just got results that's smiles and waved hands the mission could never be accomplished, however until we bounce to an island with hot weather and still we'll be able to rock and rip crowds while other emcees say nuthin' and talk loud while other emcees say nuthin' and talk loud if you with the tribe, chest out and be proud shake your money maker shake your money maker shake your money maker shake it, shake it ( repeated x with variations)","money maker"
"87","we be the number one motivators ghetto mentality and the innovators some of y'all may really hate us but we won't be soft, all we wanna do is rock [ phife] we be the crew that presents to the wicked instrumental damaging your mental from here to sacramento this here groove was made for vintage freestyling feeling like i'm chilling on a caribbean island rugged raw material is what we bring forth a tribe called quest, we representing up north quence got you taken in the back, acting all silly kicking freestyle raps, rolling up phillies [ q- tip] it's the four man fiasco in charge like roscoe now you get the picture like picasso we make it happen when these niggas start rapping who this, captain? stick out your hand, you gets no dap and i got the razor, got the phife, i got the shaheed now all you shorties move your ass while you puff weed blessing fans with autographs in my paths while other rappers get gassed, they be defeating the task [ consequence] yo, if i ruled the world it wouldn't be that gassed shit, niggas will mix it like swirl ' cause half of you g's, ain't nothing but girl scouts and i'mma show you what it's all about ( ah yeah!) that's what you say when my love's in your mouth without a doubt i cut m cs like the cord' cause i does more than that m c from the lords while you be frogging like bud-wei-ser and rapping is what you slacking in i'm knocking m cs outta action like abstinence rockin' since kiss my dick was kicking that peachfuzz cuz, you might be on drugs [ q- tip] to all my people across the state who sit back and contemplate motivate, i motivate to all my people across the land who get their feet stuck in sand motivate, i motivate y'all [ consequence] a yo, i stay with something new but not granddaddy i. u stay tuned, live from the l- b- q a yo, it's just the same guy, swinging on your block you know how i get down like heather b with them glocks i came to lead my team to victory like hayden fox ' cause heads ain't ready for the willie i got ya nah'mean slim, i does my thing like ben grimm leaving crews in state of black and blue like rakim and if you don't know, you better ask another it's like -- when we rolling deep cover so don't shut down on the razor cuz in the - live we stepping through hotter than the trail blazers and in queens, i be a legend like richard dean son, i gotta team that hakeem couldn't dream while you be sam cassell'n, queens keep it live who the hell you telling? ( can't front on the tribe) [ phife] let me tell you why i be the top dog in the industry because all these so-called mutts are not seeing me they too busy eating cycles , and they can't m c, i'd rather be down with fucking droopy d my style is deadly, word bond, act like you fucking know been writing rhymes ever since ray parker sang with raydio your style is played out like a two-tone down goose you couldn't converse if you had fucking react juice so hold your corner as i start to bless this mic in here i'm eating through your crew like stephen king's langoliers try bite my steez, word to god, i'm gonna hurt you( will y'all fall off?) will laura fuck urkel? never here comes the funk, smell the aroma kid, my shit's the bomb, ask my peeps in oklahoma [ outro: q- tip] to all my people across the state who sit back and contemplate motivate, i motivate, i motivate y'all to all my people across the land who get stuck in great sand motivate, i motivate y'all to all my peoples everywhere throw your mitts in the air motivate, motivate, motivate, motivate can't do nuthin for your fronting, get involved and do something motivate, motivate, i motivate, i motivate, i moti...","motivators"
"88","[ verse : jarobi] i hope my legendary style of rap lives on a-fixed to the earth like my feet, they got cleats on i'm moving backwards, never that was never the plan pushing shit along, render stillness in the quick sand asphalt jumpin', junkie lyrical, concrete my jedi mind be moving me throughout the many dark streets backwoods, boondocks, whatever terrain auf wiedersehen, aloha, man our feet ain't the same i won't abuse these shoes, these shoes ain't made for reversing then trudging through these motherfuckers' first album footprinting, never ever ghostwritten, yo' shit free, bitten grab my shit with both hands, iron grip, steel mitten bloviated, jarobi ate it and now it's gone closed mouths don't get fed or move ahead to my hustlers with customers, scam my chicks just being petty trap lords with the fetty, don't be no backwards, no no backward ass nigga,don't be no backwards, no no backward ass nigga, don't be no backwards, no no backward ass nigga, don't be no backwards, no don't do it, nigga [ chorus: anderson . paak] i spun around without a care when i stopped, i felt lost i'm two heels from the top tier really want to be boss i figured it out, figured it out somewhere maybe the answer's not out there maybe it's on the ground somewhere when i stopped, i felt lost do you ever feel lost? [ verse : anderson . paak] they wanna see my downfall turn a good day into a downpour thorns in the crown hit the cross i bear why they wanna see me hangin' like a towel somewhere one eye, two bills, three tears, a heart still how i'm feelin' in my mind right here think i'm moving, i ain't going nowhere, nowhere maybe why i feel lost, yeah how i'm 'posed to know how home feels? i ain’t even on my home field and again i feel lost was not a cruise that brought us here, again i feel lost and i refuse to be stuck right here, yeah i don't want to move backwards, no somebody just give me somebody just give me somebody just give me direction? i don't want to move backwards, no somebody just give me somebody just give me somebody just give me directions? i don't want to move backwards, no [ verse : q- tip] moving backwards never, that was never the plan can i vent? i was content being my own man up until that night ill-fated, walking home i was faded po puts braces on my wrist like he was clapping his hands how demeaning, y'all? who could be blind to racism? bring bro bro to me for the brotherly baptism instead of slaps, give him the dose of ab wisdom he'll make it out of the jungle some way hey, it's figurative, not a real place you stay ay, it's mind state filled with muck and malaise uh, i got direction without using waze submitting myself to praying these days yeah, moonwalking backwards, it's only for stage [ verse : anderson . paak & ( q- tip & anderson . paak)] feds lining up, in riot gear and everybody's hands in the air four-five so get your ass found somewhere caught between hope and despair say it loud, what it take to make my niggas listen somebody just give me somebody just give me somebody just give me cool out, chill out nigga, i'm cool cool out nigga, nah, nigga i'm through head down, ain't no tellin' what you gon' do ( somebody just give me— somebody just give me— somebody just give me direction i don't want to move backwards, no cops killing us niggas everywhere maybe we should get some guns too) she come around every now and a few ( man, i hope she really loves you) living high ain't hard to do ( she'll be in the clouds somewhere feeling fresh, i strut your bitches out of here might even take your broad too oops, i'm 'bout to get kicked out here tell mama i'mma slide through) stealer, i'm trying to get out of here but stuck up in the same room ( too many open miles in here sick of eating out at drive through) hahaha, look at this motherfucker","movin backwards"
"89","[ hook x: ali shaheed muhammad] mr. incognito, incognito [ verse : q- tip] yeah yeah yeah yeah mr. incognito is back again now all i want is peace and papes, and a physical friend jottin down my list of positives in life i want a ride, crib, mutt, wife the look on my grill is filled with conviction gonna get what i need, delete restriction babble on the boulevard to brother hood buddies pokin in my pocket it's the e for the moneys jay and all the jokes that jet in the jettas while i'm at the boob tube watchin baretta swig up on a forty cause i'm feelin thirsty mama says she taught me, better say she cursed me throwin on my hoodie, low-profilin wassup with the tipster? brotherman be wylin but i be on mission that's beyond eye level questin out the devil and his pals that are several quest with the questers or quest on a solo boomin in a benzo, beamer or a bronco boom caca a boom boom, boom caca a boom if my sight isn't seen, silly saps will assume that we fallin off the earth with the nina and the pinta the five foot assassin with the shade of magenta [ verse : phife dawg] magenta is the shade for the mystic parade physical trini born, lyrically, i am swayed livin off linden, -nd chillin at the rest, other brothers wreck it easy like a morning, commodore sunday waited for a tuesday, for manic monday when i woke wednesday, persons was poundin don't know the whereabouts, can't be foundin feelin' for the feelin' for the one they call the phifer still on the smooth but a tidbit hyper get with the get on as i hit the d- l it's my thing what i bring, i try to do it well you can bet your bottom dollar that the tribe will not be slippin makin hit after hit as we commence to start rippin people think i'm buggin or i have the heebiejeebies the reason they can't find me is because they can't see me [ verse : q- tip] it's like the war's going on in the middle of your mind but your mind can't contain incognito's on the brain so you chill by yourself don't really sweat nobody speak to all the brothers and say peace to every hottie but lurking in the ghetto is a germ that insists should you back the germ away? or utilize your fists neither of the two, just continue with your thoughts and wash away your pain with the power of the quart ain't got no time for girls, 'cause girls be on some bull checkin for a nigga who got crazy pull on some deep-rooted sexual, highly intellectual not checking for the fame although it's perpetual i entered the world the same way i'll exit if you really dig the groove, then hey, glad you checked it ' cause incognito's strong, not irking like a blister before you speak about me, make sure you call me mister","mr incognito"
"90","[ intro: q- tip] dip dip dive, to the socialised issued rhythms that are on the rise step right up, with an opened circuit get this current, don't you know it's worth it presented with, tribe's intricity compared, don't you know? vibe electricity strong like a bomb, quick like a comet can i get whatever from mr. muhammad? * ali scratches interlude* [ verse : q- tip] if muhammad has the breaks, who will have the backs? bodies set it up all flow to rhythm stack okay i see my brother (huh), you know what we can do (what?) cruise with the rhythms (hah), shaheed will lead us too (yeah) posin with the hotties (huh), harder than the hard (hard) still muhammad plays with a full deck of cards (card) the tribe's stuff is present (yeah), established with the beat (beat) we roll around on wheels (huh) or utilise the feet (feet) go and keep progressin (huh), egos of the tribe ( tribe) if we have to swing it (uhh) we won't take a dive (dive) comprende my compadre? ( yeah) kid you want some more? ( yeah) muhammad push the button (huh), sample sing the score (ho) brothers try to pose, up with the tribesmen rhythm on your toes, yes it's the funk again appreciate the flow, denounce the circuit breakers do it with the best, the movers and the shakers bustin out your heap, ??? my vehicle burnin up the felts, rhythm's up to me it will be strong like a bomb, quick like a comet can i get a whatever from mr. muhammad? * ali scratches interlude* [ verse : phife dawg] sitting on the dock (huh), fin' to make a wish (word) muhammad oh muhammad (huh), damn you're quite a dish (dish) fondeling the groove (groove), with the mystic sense (sense) honeys won't you try (huh), they push you in the tents (tents) but i don't give a damn (word), rhythms make you swing (huh) if you don't like it (no), you can pucker up (hoo) you listenin mr. quayle (yeah), if you're hiding just give up (hoo) i'm a rhythm monster (wild), who's out on a prowl (yeah) muhammad gives a hoot (hoot) like woodsy the owl (yeah) comprende my compadre (uh huh)? kid you want some more (word)? muhammad push the button, sample sing the score (ooh)","mr muhammad"
"91","a tribe called quest – “ scenario” afrika bambaataa & soulsonic force – “ planet rock” basement jaxx – “ hot ’n cold” black rebel motorcycle club – “ river styx” busta rhymes – “ dangerous” clipse – “ grindin’” death from above – “ romantic rights” depeche mode – “ personal jesus” junior mama – “ used to say” lauryn hill – “ doo wop ( that thing)” lorde – “ team” major lazer featuring pharrell williams – “ aerosol can” missy elliott – “ on & on” no doubt – “ spiderwebs” one republic – “ love runs out” pharrell williams – “ hunter” pharrell williams – “ can i have it like that” pharrell williams – “ how does it feel?” public enemy – “ shut ‘ em down ( pete rock remix)” ratatat – “ seventeen years” red hot chili peppers – “ suck my kiss” santigold – “ creator” snoop dogg – “ drop it like it’s hot” strafe – “ set it off” the black keys – “ everlasting light” the rapture – “ house of jealous lovers” the strokes – “ under cover of darkness”","nba 2k15 soundtrack"
"92","[ verse : q- tip] listen up everybody, the bottom line i'm a black intellect, but unrefined with precision like a bullet, target bound just living like a hooker, the harlot sounds now when i say the harlot, you know i mean the hot heat of the equator, the broth that's in the pot jalick, jalick ya wind up ya hip drafting of the poets, i'm the # pick licks licks licks boy 'pon your backside licks licks licks boy 'pon your backside listen to the fader, shaheed lets it glide tip the earthly body, heaven's on my side even in santo domingo when i got a gringo we got mics, when do we go? know a little nigga who can rhyme when you ask me short, dark, and plus his voice is raspy [ verse : phife dawg] for the treble, for the bass you know the style tip, it's time to flip this i like my beats hard like two day old shit steady eating booty m cs like cheese grits my man al b. sure, he's in effect mode used to have a crush on dawn from en vogue it's not like honey dip would wanna get with me but just in case i own more condoms than t. l. c now the formula is this: me, tip, and ali for those who can't count it goes -- the anti batty boy, big up is who i be brothers find this hard to do but never me some brothers try to diss but malik, you see 'em bitching me no care about them dibby m c, my shit is hitting trini gladiator, anti-hesitater shaheed push the fader from here to grenada mr energetic, who me sound pathetic? when's the last time you heard a funky diabetic? ( i don't know man, i don't know man, i don't know man) ( i don't know, i don't know)[ hook: busta rhymes] oh my god, yes, oh my god ( repeat x) [ verse : q- tip] complementary are we, the three for poetry i got a humdinger coming hook line and sinker the timbo hoofs with the prints on the ground timbos on the toes, i like the way it's going down down like a lady of the evening when it goes in toots just believe it's in cause queens is the county, jamaica is the place take off your cleats cause you can't run the race ( repeat to fade) the title m c means master of ceremony some people who m c don't know what this term means","oh my god"
"93","chorus q- tip: oh my god ( x) q- tip: listen up everybody the bottom line i'm a black intellect, but unrefined with precision like a bullet, target bound just livin like a hooker, the harlett sounds now when i say the harlett, you know i mean the hot heat in the equator, the brothers in the pot jalick, jalick ya wind up ya hip draftin of the poets, i'm the # pick licks, licks, licks boy on your backside licks, licks, licks boy on your backside listen to the fader, shaheed lets it glide tip the earthly body, heaven's on my side even in santo domingo, can i gotta gringo yo, we got mics, when do we go? know a little nigga who can ryhme when you ask me short, dark, and plus his voice is raspy phife for the treble, for the bass you know my style tip, now watch me rip this i like my beats harder than two day old shit steady eatin booty m cs like cheese grits my man al b. sure, he's in effect mode used to have a crush on dawn from en vogue it's not like honey dip would wanna get with me but just in case i own more condoms than t l c now the formula is this... me, tip, and ali for those who can't count it goes -- the answer...big up is how i be brothas find it's hard to do, but never me some brothas try to dis malik you see'm catchin me don't worry about them booty m cs, my shit be hittin trainin gladiator, anti-hesitator shaheed push the fader from here to granada mister energetic, who me, sound pathetic? when's the last time you heard a funky diabetic? i don't know man(x) i don't know(x) chorus: ( q- tip) complimentary it be the thief of poetry i got a humdinger comin hook, line and sinker the t i m b o hits with the prints underground t i m b o's on the toes, i like the way it's goin down down like the lady of the evenin when it goes in hun just beleive the sin cuz queens is the county, jamaica is the place ( phife: take off your boots cuz you can't run the race) see, this is how we do when we keep it on and on do what... got my man big mo with the streets and the papes my man big mo with the streets and caprice this is how we do when we keep the wildin sheets cuz we got to do it like this, we aim to please see ya next l p and next c d and next cassette yo, we about to jet we a tribe called quest and we the midnight marauders tribe called quest and we the midnight marauders see ya next time cuz we the midnight marauders a yo, we out cuz we the midnight marauders go to the record store and get the shit we work hard we a tribe called quest and we the midnight marauders queens got a zone, and brooklyn got a zone like that","oh my god remix)"
"94","[ q- tip] one two, one two one-wa-wa-one, one two one two ( repeat x) yo it's the q- tip, you know i get down yes i rock to the rhythm of a funky sound, it go one-wa-wa-one, one two one two ( repeat x) [ phife] and it's the, phife dawg, and i do the same and when it comes to ripping mics a-yo it ain't no games one-wa-wa-one, one two one two ( repeat x) [ busta] a-yo you know it's busta rhymes, every time oh yes, i'm coming wicked with a new design, i'm saying one-wa-wa-one, one two one two ( repeat x) [ verse : q- tip] emcees ain't coming equipped with the rhymes don't do the crime if you can't do the time the time is eternal when you play with the miser soul is in my body and the health make me wiser the tantalizing wordplay, yeah that's the joint sometimes i have to cuss just to prove my damn point brothers need to come with better compositions i write and recite to make good position in this rap game here we engineer stabbing up the jam, yeah son, shit's clear and i be kicking rhymes in my own damn way beating niggas to the punch like sugar ray got the cool-ass style that's cooler than the cool my lyrics is the bullet and the mic is the tool peace to c- and c- do a little something when i'm out on tour coming through like narcotics for the antibiotics flap a shorty's pockets to the space like sprockets what you really need to do is just boogie your ass it's not gas, we got to make the good times last let the good times roll cause we in control take you out on your hide less you paying a toll let the good times roll, let the good times roll take you out on your hide less you paying the toll [ verse : phife dawg] question, why is that emcees be wack and major labels wanna sign all that crap, a-yo funk that! word to life i'm coming rugged cause once you add the hip to the hop kid, it equals out to love if the beat's fat i use it, some wack shit, i lose it refuse it, how could you chose it, it stinks remove it put down the mic kid, cause you gets no dap how long did it take for you to see you can't rap the name is phife dawg and i got nuff styles it doesn't take long for me to get buckwild so bust what i'm swinging what i'm swinging when i swing i rap when i rap cause i never wanna sing go ask the last emcee what happened when he said battle i bust his ass in cleveland now he's sleepless in seattle rude bwoy official coming with the ill grammar coming back on kids like joey montana we be the three emcees that make your mind go batty mad play on w k r p in cincinatti so lord send a hand and if you can't send a hand, send a man and if you can't send a man, come yourself cause all these biting emcees, lord them something else see i kick the styles that'll make your ass melt money on my mind so never mind a trick new york is the town and the team is the knicks world's greatest five footer ripping parties apart here comes shaheed with the big green shark never had to rhyme about filling one with lead never mind that, man, here come the dread! [ verse : busta rhymes] we coming far far far busta rhymes is coming far far far, you know you hear me, star bet your bottom dollar right after this jam about one million one two niggas gon' follow whether it be today or tomorrow niggas become aggravating, sickening, you beat them like they father oh shit check out what i'm saying a-ha a-ha oh a-ha a-ha you know my niggas don't be playing once upon a motherfucking time i received the opportunities to represent my first rhymes to define, lyrical sensations black masons blowing up the spot just to represent the nations three dimensions, tryclops, mr. busta rhymes three eyes fat like a burger and fries mama-so mama-sa mama makossa go back to the country to go check my grandmama eeeyah! bring it to the table at the meetings gathering large receivings, delivering intellectual ass beatings as i carry on with my proceedings greetings! watch a nigga debut on premier movie screenings but before i be face to face with my eternal resting place i hope you find civilized every soul and every race sit dog sit! busta rhymes forever on that ultrasonic shit","one two shit"
"95","[ d- life] this is the master d- life as we set it off with my mans a tribe called quest and uhh, we got to do it like this baby we got to do it like that baby we got the good shit not the bullshit, you know what i mean? ha hah we bout to count it down, we bout to count it off it goes a-one, two, three, and... [ q- tip] malik we gettin back into that shit again and when we rhyme, brothers need to break they pens, uh-oh it's the love movement never ends the rap game'll never be the same again ( phife dawg where you at baby?) we came again [ phife dawg] here i come again, you feelin fine? the dawg is like a overflowin rhyme from mind usually mess with shorties whose a or shorty bump around to the bass-line [ q- tip] f keeps a burner on the waist-line y'all cat's trick it off, i ain't wastin mine you feel the uniqueness, you seekin this? and when we do it, we be freakin this [ phife dawg] don't even front, you know you feelin this my shade is borderin around licorice (licorice) enjoyin this tune, glad you playin it ( aiyyo phife what's the hook?) here we sayin it, s a y i n i t, s a y i n i t chorus: with d- life my pad and my pen (ah ah, you didn't go there) the beat and the blend (say word, you didn't go there) the party won't end (you know, we got to be there) just keep gettin' ends, buildin with friends, yo * repeat x w/ variations * [ q- tip] one love, one life, and one destiny it seems that the devil keeps testin me got the illest part of the recipe yo tell your homegirl to stop stressin me (stop it) undressin me is the part you really like brothers hold the cracks now they holdin mics the cusses you get, they feelin steady rights marauders, we did that shit at mid-night, a-ah-aight-aight [ phife dawg] i love it when my honeydip be slobbin me don't take it personal, it's just comedy my comedy completely turned to tragedy i sense some of these rappers still be mad at me sweatin her because of her anatomy when i bang you it'll be assault and battery don't make me discombobulate your microphone talkin trash will only get you freakin head, flown [ q- tip] uhh, buy em out the box, never batty ones get in that ass like karate son my outlook on life, sometimes it's lookin grim we manage a smile, sometimes we slip it in [ phife dawg] my tribe be worldwide like the nike swoosh emcees be soundin moist like vagina juice the top of the world, we pursuin it don't worry about a thing, cause we doin it d o i n i t, d o i n i t chorus x [ d- life] that's the way we do.. c'mon, that's the way we do it's the nigga d- life, with t- c- q that's the way we are.. and the beat won't stop got to blow it up for the top.. didn't think you knew how we rock..","pad  pen"
"96","[ chorus x] all we want in this life is peace, prosperity and a little paper objects, they seem greater but i'm sure we overcome when we illin' on a drum [ verse : q- tip] we in a world that places heavy emphasis on money synthesis y'all can be my witnesses that a fella fascination with money has grown to the point that he will shit on his own we got to have it y'all, its not a spike lee cinematic a piece of paper making niggas get dramatic but the money doesn't come automatic gotta motivate ourselves to go and grab it we got to get it y'all, in an orderly fashion some cats go about it with too much passion we got to mediate our greedy levels' cause the lust of currency can have us sleepin with the devil gotta recognize it, realize the power that this little ma-huckin piece of paper will devour man can be greater than the thing he creates see, i'mma do my thing and see how much i can scrape yo, i'd rather have respect than money, no doubt but listen to me y'all, i want the mass amount that the sesame street dracula can't count so that i can give my people when that thing surmounts to higher levels.. of being.. so when i'm m c-ing i hope to see you there steady g-ing (say word) but the only way we can truly reach that goal is finding true inner peace and prospering souls it's like that [ verse : phife] here comes your royal highness, one of queens finest believe me, honest, you know you can't stop it come on son, never leave your mic 'round me true m c for real, ask my man shaheed strictly focused on what i'm in this rap game for not for fame and screwing every whore after whore with all that a i d s stuff going round tell me how that sound rather hit the studio and hear some beats that pound now, don't get me wrong, i love honeys galore but see hip-hop's my bread butter ' cause that's what i get paid for see this is what i wanted, allah helped me to get it and if the beat is wicked, you know malik will rip it from the bottom of my heart, that's where the love starts the love for breakdancing, my love for the art and with this love i do hip-hop from the soul a real m c, who never sweats how many copies are sold yeah, i want to go gold, platinum, uh-huh, etcetera but why put out some wackness when no one will respect ya? i'm staying true, nuff respect to those that paved the way from bambaataa down to shah; that be my d j without my peeps i don't know how the hell i'd make it, word sometimes i feel that my career is headed for the curb one love for lending hand and giving all your help believing in me when i didn't believe in my own self the abstract with whom i'm always making rugged tunes kid hood resting in heaven, i hope to see you soon i keep things hot and this year they're even hotter big mu and shah, one day i'll take my shahada out","peace prosperity & paper"
"97","tracklist ( click links for lyrics) . push it along . luck of lucien . after hours . footprints . i left my wallet in el segundo . pubic enemy . bonita applebum . can i kick it? . youthful expression . rhythm ( devoted to the art of moving butts) . mr. muhammad . ham n' eggs . go ahead in the rain . description of a fool cover art:","peoples instinctive travels and the paths of rhythm [tracklist + album cover]"
